source_prefix	target_prefix	source_size	target_size	absolute_overlap	normalized_overlap
apo	lbo	309	1108	309	1.0
apo	sbo	309	694	309	1.0
bfo	bto	35	6511	35	1.0
bfo	chmo	35	2908	35	1.0
bfo	cmo	35	3025	35	1.0
bfo	efo	35	15540	35	1.0
bfo	flopo	35	23226	35	1.0
bfo	lbo	35	1108	35	1.0
bfo	lpt	35	481	35	1.0
bfo	ma	35	3230	35	1.0
bfo	mop	35	3582	35	1.0
bfo	oarcs	35	307	35	1.0
bfo	omp	35	2006	35	1.0
bfo	rs	35	5020	35	1.0
bfo	sbo	35	694	35	1.0
bfo	wbls	35	774	35	1.0
bfo	xco	35	675	35	1.0
bspo	bto	139	6511	139	1.0
bspo	cio	139	44	44	1.0
bspo	colao	139	83	83	1.0
bspo	flopo	139	23226	139	1.0
bspo	hom	139	65	65	1.0
bspo	icepo	139	51	51	1.0
bspo	lbo	139	1108	139	1.0
bspo	mop	139	3582	139	1.0
bspo	omit	139	89	89	1.0
bspo	taxrank	139	61	61	1.0
bspo	trans	139	32	32	1.0
bto	cdao	6511	131	131	1.0
bto	cio	6511	44	44	1.0
bto	colao	6511	83	83	1.0
bto	cro	6511	81	81	1.0
bto	cryoem	6511	111	111	1.0
bto	cteno	6511	151	151	1.0
bto	exo	6511	150	150	1.0
bto	fao	6511	112	112	1.0
bto	fovt	6511	313	313	1.0
bto	gecko	6511	67	67	1.0
bto	geno	6511	221	221	1.0
bto	hom	6511	65	65	1.0
bto	hsapdv	6511	243	243	1.0
bto	icepo	6511	51	51	1.0
bto	lepao	6511	132	132	1.0
bto	mmusdv	6511	105	105	1.0
bto	oarcs	6511	307	307	1.0
bto	ogms	6511	117	117	1.0
bto	olatdv	6511	47	47	1.0
bto	omit	6511	89	89	1.0
bto	one	6511	69	69	1.0
bto	pdumdv	6511	21	21	1.0
bto	psdo	6511	74	74	1.0
bto	taxrank	6511	61	61	1.0
bto	trans	6511	32	32	1.0
bto	zeco	6511	161	161	1.0
cdao	lbo	131	1108	131	1.0
cdao	lpt	131	481	131	1.0
cdao	mop	131	3582	131	1.0
cdao	oarcs	131	307	131	1.0
cdao	omp	131	2006	131	1.0
cdao	sbo	131	694	131	1.0
cdao	zp	131	36602	131	1.0
chmo	gecko	2908	67	67	1.0
chmo	ogms	2908	117	117	1.0
chmo	olatdv	2908	47	47	1.0
chmo	pdumdv	2908	21	21	1.0
chmo	psdo	2908	74	74	1.0
cio	cmo	44	3025	44	1.0
cio	colao	44	83	44	1.0
cio	flopo	44	23226	44	1.0
cio	hao	44	2465	44	1.0
cio	lbo	44	1108	44	1.0
cio	lepao	44	132	44	1.0
cio	mop	44	3582	44	1.0
cio	oarcs	44	307	44	1.0
cio	omp	44	2006	44	1.0
cio	sbo	44	694	44	1.0
cio	taxrank	44	61	44	1.0
cio	trans	44	32	32	1.0
cio	xco	44	675	44	1.0
cio	zfs	44	54	44	1.0
cmo	icepo	3025	51	51	1.0
cmo	one	3025	69	69	1.0
cmo	trans	3025	32	32	1.0
cmpo	lbo	399	1108	399	1.0
colao	flopo	83	23226	83	1.0
colao	hom	83	65	65	1.0
colao	icepo	83	51	51	1.0
colao	lbo	83	1108	83	1.0
colao	mop	83	3582	83	1.0
colao	oarcs	83	307	83	1.0
colao	omp	83	2006	83	1.0
colao	sbo	83	694	83	1.0
colao	taxrank	83	61	61	1.0
colao	trans	83	32	32	1.0
colao	xco	83	675	83	1.0
cro	lbo	81	1108	81	1.0
cro	mop	81	3582	81	1.0
cro	oarcs	81	307	81	1.0
cro	omp	81	2006	81	1.0
cro	sbo	81	694	81	1.0
cro	xco	81	675	81	1.0
